competition,date,match_name,stage,round,round_label,team1,score1,score2,team2,winner,location
5v5 Tourney 2022 : Men’s Major,2022-09-17,S1.PA.R1.1,1,1,,Amethyst,18,25,World Peace,World Peace,Lapangan Hockey Senayan
5v5 Tourney 2022 : Men’s Major,2022-09-17,S1.PA.R1.2,1,1,,Doflamingo,37,25,BENCANA,Doflamingo,Lapangan Hockey Senayan
5v5 Tourney 2022 : Men’s Major,2022-09-24,S1.PA.R1.5,1,1,,World Peace,8,33,Doflamingo,Doflamingo,Lapangan Hockey Senayan
5v5 Tourney 2022 : Men’s Major,2022-09-24,S1.PA.R1.6,1,1,,Amethyst,13,24,BENCANA,BENCANA,Lapangan Hockey Senayan
5v5 Tourney 2022 : Men’s Major,2022-10-01,S1.PA.R1.3,1,1,,World Peace,13,20,BENCANA,BENCANA,Lapangan Hockey Senayan
5v5 Tourney 2022 : Men’s Major,2022-10-01,S1.PA.R1.4,1,1,,Amethyst,20,31,Doflamingo,Doflamingo,Lapangan Hockey Senayan
5v5 Tourney 2022 : Men’s Major,2022-10-08,S2.R1.1,2,1,Final,Doflamingo,7,6,BENCANA,Doflamingo,Lapangan Hockey Senayan
5v5 Tourney 2022 : Men’s Minor,2022-09-17,S1.PA.R1.1,1,1,,Bullhorns,18,6,Copperheads,Bullhorns,Lapangan Hockey Senayan
5v5 Tourney 2022 : Men’s Minor,2022-09-17,S1.PA.R1.2,1,1,,Cougars,12,21,Pharaohs,Pharaohs,Lapangan Hockey Senayan
5v5 Tourney 2022 : Men’s Minor,2022-09-24,S1.PA.R1.5,1,1,,Copperheads,19,0,Cougars,Copperheads,Lapangan Hockey Senayan
5v5 Tourney 2022 : Men’s Minor,2022-09-24,S1.PA.R1.6,1,1,,Bullhorns,19,6,Pharaohs,Bullhorns,Lapangan Hockey Senayan
5v5 Tourney 2022 : Men’s Minor,2022-10-01,S1.PA.R1.3,1,1,,Copperheads,6,0,Pharaohs,Copperheads,Lapangan Hockey Senayan
5v5 Tourney 2022 : Men’s Minor,2022-10-01,S1.PA.R1.4,1,1,,Bullhorns,20,14,Cougars,Bullhorns,Lapangan Hockey Senayan
5v5 Tourney 2022 : Men’s Minor,2022-10-08,S2.R1.1,2,1,Final,Bullhorns,25,19,Copperheads,Bullhorns,Lapangan Hockey Senayan
5v5 Tourney 2022 : Women’s,2022-09-17,S1.PA.R1.1,1,1,,Pumpkins,19,7,Green Mambas,Pumpkins,Lapangan Hockey Senayan
5v5 Tourney 2022 : Women’s,2022-09-17,S1.PA.R1.2,1,1,,Midnight Cubs,12,7,Underdogs,Midnight Cubs,Lapangan Hockey Senayan
5v5 Tourney 2022 : Women’s,2022-09-24,S1.PA.R1.5,1,1,,Green Mambas,6,0,Midnight Cubs,Green Mambas,Lapangan Hockey Senayan
5v5 Tourney 2022 : Women’s,2022-09-24,S1.PA.R1.6,1,1,,Pumpkins,7,6,Underdogs,Pumpkins,Lapangan Hockey Senayan
5v5 Tourney 2022 : Women’s,2022-10-01,S1.PA.R1.3,1,1,,Green Mambas,12,8,Underdogs,Green Mambas,Lapangan Hockey Senayan
5v5 Tourney 2022 : Women’s,2022-10-01,S1.PA.R1.4,1,1,,Pumpkins,21,12,Midnight Cubs,Pumpkins,Lapangan Hockey Senayan
5v5 Tourney 2022 : Women’s,2022-10-08,S2.R1.1,2,1,Final,Pumpkins,6,13,Green Mambas,Green Mambas,Lapangan Hockey Senayan
AIA Vitality WFF Jakarta League 2024,2024-09-08,,1,1,,Gorgons,19,0,Women Pandas,Gorgons,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-09-08,,1,1,,Orcas,14,13,Panthers,Orcas,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-09-08,,1,1,,Orion,6,28,Warwolves,Warwolves,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-09-15,,1,1,,Dracarys,12,6,Gorgons,Dracarys,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-09-15,,1,1,,Orcas,7,34,Warwolves,Warwolves,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-09-15,,1,1,,Panthers,32,0,Women Pandas,Panthers,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-09-22,,1,1,,Dracarys,45,0,Women Pandas,Dracarys,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-09-22,,1,1,,Orion,34,39,Panthers,Panthers,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-09-29,,1,1,,Dracarys,32,12,Panthers,Dracarys,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-09-29,,1,1,,Gorgons,6,18,Orion,Orion,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-09-29,,1,1,,Warwolves,54,0,Women Pandas,Warwolves,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-10-06,,1,1,,Dracarys,41,8,Orion,Dracarys,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-10-06,,1,1,,Gorgons,0,19,Warwolves,Warwolves,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-10-06,,1,1,,Orcas,39,6,Women Pandas,Orcas,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-10-13,,1,1,,Dracarys,33,13,Warwolves,Dracarys,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-10-13,,1,1,,Gorgons,0,22,Panthers,Panthers,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-10-13,,1,1,,Orcas,13,7,Orion,Orcas,Australian Independent (International) School - AIS
AIA Vitality WFF Jakarta League 2024,2024-10-20,,1,1,,Dracarys,20,13,Orcas,Dracarys,Australian Independent (International) School - AIS
