competition,date,stage,is_final,place,team,wins,losses,draws,points,score_diff
5v5 Tourney 2022 : Women’s,2022-10-10,1,False,1,Pumpkins,3,0,0,9,22
5v5 Tourney 2022 : Women’s,2022-10-10,1,False,2,Green Mambas,2,1,0,6,-2
5v5 Tourney 2022 : Women’s,2022-10-10,1,False,3,Midnight Cubs,1,2,0,3,-10
5v5 Tourney 2022 : Women’s,2022-10-10,1,False,4,Underdogs,0,3,0,0,-10
5v5 Tourney 2022 : Men’s Minor,2022-10-10,1,False,1,Bullhorns,3,0,0,9,31
5v5 Tourney 2022 : Men’s Minor,2022-10-10,1,False,2,Copperheads,2,1,0,6,13
5v5 Tourney 2022 : Men’s Minor,2022-10-10,1,False,3,Pharaohs,1,2,0,3,-10
5v5 Tourney 2022 : Men’s Minor,2022-10-10,1,False,4,Cougars,0,3,0,0,-34
5v5 Tourney 2022 : Men’s Major,2022-10-10,1,False,1,Doflamingo,3,0,0,9,48
5v5 Tourney 2022 : Men’s Major,2022-10-10,1,False,2,BENCANA,2,1,0,6,6
5v5 Tourney 2022 : Men’s Major,2022-10-10,1,False,3,World Peace,1,2,0,3,-25
5v5 Tourney 2022 : Men’s Major,2022-10-10,1,False,4,Amethyst,0,3,0,0,-29
Jakarta Bowl by Sambal Bakar,2023-08-25,1,False,1,Nightwing,9,1,0,27,172
Jakarta Bowl by Sambal Bakar,2023-08-25,1,False,2,Capitals,5,2,3,18,46
Jakarta Bowl by Sambal Bakar,2023-08-25,1,False,3,Bombshells,4,3,3,15,1
Jakarta Bowl by Sambal Bakar,2023-08-25,1,False,4,Pandas,4,5,1,13,-2
Jakarta Bowl by Sambal Bakar,2023-08-25,1,False,5,Eagles,3,6,1,10,-13
Jakarta Bowl by Sambal Bakar,2023-08-25,1,False,6,Ratu Buaya Putih,1,9,0,3,-204
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,1,Spectres,4,0,1,12,181
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,1,T13. Galunggung,4,0,1,12,140
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,1,Cygnus,4,0,1,12,108
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,1,Silverback Wolves,4,0,0,12,77
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,2,Headshoes Union,3,1,1,9,130
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,2,Jokers,3,1,1,9,112
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,2,Virgins,3,1,0,9,38
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,2,UPH Bulldogs,3,1,1,9,24
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,3,Eagles,2,2,0,6,48
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,3,AKHLAKERS,2,2,1,6,31
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,3,MF,2,2,1,6,22
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,3,KICHI,2,2,1,6,10
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,4,Human Darkside,2,2,1,6,9
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,4,Tropics,2,2,1,6,-20
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,4,Ronins,2,2,1,6,-91
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,4,Hooligans,1,3,0,3,-59
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,5,Dragonfly,1,3,1,3,-75
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,5,Eagles Young Guns,1,3,1,3,-89
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,5,Reptarz,0,3,2,0,-83
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,5,Thundercats,0,4,0,0,-104
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,6,Semut Hitam,0,4,1,0,-74
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,6,Ninetails,0,4,1,0,-155
JFF Men’s Open SZN 1 by Marugame Udon,2023-11-27,1,False,6,The Free Agents,0,3,2,0,-180
WFF Batavia Minor League 2024,2024-02-20,1,True,1,BULLRED,6,1,0,18,80
WFF Batavia Minor League 2024,2024-02-20,1,True,2,HONEY BADGER BLITZ,5,1,0,15,26
WFF Batavia Minor League 2024,2024-02-20,1,True,3,PINA COLADA,3,4,0,9,-29
WFF Batavia Minor League 2024,2024-02-20,1,True,4,LADY WHITE,2,3,1,7,15
WFF Batavia Minor League 2024,2024-02-20,1,True,5,FRENCH 75,1,3,1,4,-13
WFF Batavia Minor League 2024,2024-02-20,1,True,6,PINK LEMONADE,0,5,0,0,-79
JFF's Development Arena : Rising Stars by Imboost,2024-03-05,1,False,1,Phantom Menace,4,1,0,12,29
JFF's Development Arena : Rising Stars by Imboost,2024-03-05,1,False,2,Neptune,4,1,0,12,23
JFF's Development Arena : Rising Stars by Imboost,2024-03-05,1,False,3,Cerberus,3,2,0,9,12
JFF's Development Arena : Rising Stars by Imboost,2024-03-05,1,False,4,Killmonger,2,2,1,7,1
JFF's Development Arena : Rising Stars by Imboost,2024-03-05,1,False,5,Jade Jesters,1,3,1,4,-19
JFF's Development Arena : Rising Stars by Imboost,2024-03-05,1,False,6,Senayan Strikers,0,5,0,0,-46
AIA Vitality WFF Jakarta League 2024,2024-11-19,1,False,1,Dracarys,6,0,0,18,131
AIA Vitality WFF Jakarta League 2024,2024-11-19,1,False,2,Warwolves,5,1,0,15,130
AIA Vitality WFF Jakarta League 2024,2024-11-19,1,False,3,Orcas,3,2,1,10,6
AIA Vitality WFF Jakarta League 2024,2024-11-19,1,False,4,Panthers,3,3,0,9,10
AIA Vitality WFF Jakarta League 2024,2024-11-19,1,False,5,Orion,2,4,0,6,-53
AIA Vitality WFF Jakarta League 2024,2024-11-19,1,False,6,Gorgons,1,4,1,4,-40
AIA Vitality WFF Jakarta League 2024,2024-11-19,1,False,7,Women Pandas,0,6,0,0,-184
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,1,Cygnus,3,0,0,9,150
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,1,Spectres,3,0,0,9,119
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,1,Glorius,3,0,0,9,109
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,1,Tungsten,2,0,1,7,66
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,2,Jokers,2,1,0,6,53
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,2,Boars,2,1,0,6,42
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,2,Bombshells,2,1,0,6,14
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,2,Tropics,2,1,0,6,6
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,3,Aozora,1,1,1,4,-12
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,3,Eagles,1,2,0,3,-8
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,3,Riptide,1,2,0,3,-13
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,3,MF,1,2,0,3,-82
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,4,The New Team,0,3,0,0,-79
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,4,Hammerhead,0,3,0,0,-107
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,4,Eagles Young Guns,0,3,0,0,-115
Open SZN 2 by Kohai Izakaya,2024-12-07,1,False,4,ISO : Istri Sudah Ok,0,3,0,0,-143
WFF Minor League 2025 : DevZone,2025-03-08,1,False,1,HERA,3,0,0,9,33
WFF Minor League 2025 : DevZone,2025-03-08,1,False,2,APHRODITE,2,1,0,6,14
WFF Minor League 2025 : DevZone,2025-03-08,1,False,3,ARTEMIS,1,2,0,3,11
WFF Minor League 2025 : DevZone,2025-03-08,1,False,4,ATHENA,0,3,0,0,-58
JFF MINOR LEAGUE 2025: DevZone,2025-03-08,1,False,1,HADES,3,0,0,9,49
