competition,date,award_type,award,description,recipient_name,recipient_id,order
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,WFF MVP,Women's Division Best Individual Player,almirassss,5e7fd876-bc69-4114-ac57-477bbe7edcb3,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 1st Team,Offense,galuh-utami-667,c9637a5e-9da1-4703-adeb-eb34cd9c16b4,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 1st Team,Offense,uti-amalina-221,7a3be8d5-d4dd-4334-ab0e-b8debed00f4b,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 1st Team,Offense,almirassss,5e7fd876-bc69-4114-ac57-477bbe7edcb3,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 1st Team,Offense,t-cornelia-941,d39702c5-a5e1-4cc8-8b72-9a9b03c18ea3,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 1st Team,Offense,preciawidyatomo,9894dd64-9d28-4383-a357-e6cde2b5e9af,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 1st Team,Defense,ajengparamitha_,613b7799-dfa7-4d1c-b4ca-8196c24e5e82,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 1st Team,Defense,michele-erica-,5d22bbe1-0bf5-4898-9257-a81ebf1535db,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 1st Team,Defense,atikaamp,b6d7fbfc-071e-43b8-8294-d86c70b60a82,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 1st Team,Defense,skarrrrp,e97573a3-16b6-47c7-b21e-cb137e3a53fc,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 1st Team,Defense,tamiangtobing-238,b9a956ac-c61d-4939-9d56-75aaa4f6171c,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 2nd Team,Offense,jesslyn-t-690,1570d6a1-9f51-447f-81e3-129040f73e18,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 2nd Team,Offense,taniachantasya,b560ae40-7454-4090-a858-89e6729a77fb,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 2nd Team,Offense,natasha-sutantyo-347,8334807f-3f72-4059-acca-9aae93db6311,
5v5 Tourney 2022 : Women’s,2022-10-10,Champion,,,Green Mambas,5822742f-1825-407e-8b11-9922577b9927,1
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 2nd Team,Offense,clarissalvrtt,69627d56-ac05-41d0-b2b1-4a25a8e0d64c,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 2nd Team,Offense,belva,dcfd72cd-9b0d-43f9-b79d-0bb38c14fd06,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 2nd Team,Defense,stuuuuw,583c3fe0-9d98-4719-a7db-702770c15a8a,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 2nd Team,Defense,safiraananta,f2022336-257e-437d-96c3-86626bd2718d,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 2nd Team,Defense,maggiebzt,e0bd076e-8273-44a5-acd9-f975b2aa8b44,
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 2nd Team,Defense,kun dika,9ee36980-29d6-4a72-9eb8-233df88caa5a,
5v5 Tourney 2022 : Women’s,2022-10-10,Runner-up,,,Pumpkins,3dc79612-b66e-4c77-8a75-5b2d702bc711,2
5v5 Tourney 2022 : Women’s,2022-10-10,Individual,All WFF 2nd Team,Defense,gracekemur,697ab1d5-0b46-465f-a959-e938154d5d09,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,Minor's MVP,Men's minor division best individual player,christian-wongsari-345,5b65bdc0-9131-4cb0-a151-7be6858cdc7e,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 1st Team,Offense,christian-wongsari-345,5b65bdc0-9131-4cb0-a151-7be6858cdc7e,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 1st Team,Offense,akmal-umar-376,c62c7e3e-6c55-471f-a85d-3e2ca91265ee,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Champion,,,Bullhorns,a5c78a9f-0cde-4462-ae84-854debd95f60,1
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 1st Team,Offense,onxton_be,bace40fd-696f-4843-b1f9-467fba308100,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 1st Team,Offense,michaelandiputra,eca7b44f-1ad8-4abc-9f2b-4c721fdc9ebb,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 1st Team,Offense,derryhaw,770ed9c4-5dd4-4975-b7f0-a007cca31766,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 1st Team,Defense,astoadip,25f97910-9de9-46c6-b03c-ba70ea818028,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 1st Team,Defense,mr.a1221996,0f5dfb91-70fc-44f6-8f84-7094e3a6b6e6,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 1st Team,Defense,isaka,4f8d0b8e-a3bd-4536-be74-00818d204da5,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 1st Team,Defense,afrizal-400,a23265ab-882c-47e4-8cd8-55d27bcc340b,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 1st Team,Defense,guntur-mr-suryadiredja-824,45f7ecc5-f779-4951-8b95-8aafe13c86a0,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 2nd Team,Offense,bomario-141,344692bc-f8b0-43c9-9e69-40079a4de6a7,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 2nd Team,Offense,janitra,43ea32db-e2ef-4efc-876c-e2bdd4a8f869,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 2nd Team,Offense,ardya-andaru-307,7371f868-180a-4550-a91c-f406c8bd2a72,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 2nd Team,Offense,fakhricahyo,0a79292b-4d99-404c-b632-2801892fe8fa,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Runner-up,,,Copperheads,398ff489-0095-412c-a00d-bc5cf7802550,2
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 2nd Team,Offense,mahendranasution,e7bdda81-bc1f-4c9b-a5c4-e6ad323031c3,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 2nd Team,Defense,ridho-damar-249,d6d141fc-b987-44c3-b546-2ee0e69a390b,
5v5 Tourney 2022 : Men’s Minor,2022-10-10,Individual,All Minor 2nd Team,Defense,vegachristianto,226fad58-b8fd-4b53-aa27-c966ac438e25,
