competition,date,team,player_id,competition_participant_id,is_captain,status
5v5 Tourney 2022 : Women’s,2022-09-17,Pumpkins,17627,3727be71-1df3-43d5-9233-a4649ae4df74,True,1
5v5 Tourney 2022 : Women’s,2022-09-17,Pumpkins,17057,3baed826-d31f-488f-b093-212abaec17f9,False,1
5v5 Tourney 2022 : Women’s,2022-09-17,Pumpkins,17043,68a0b9b6-52f6-4475-ac7c-770e15658d50,False,1
5v5 Tourney 2022 : Women’s,2022-09-17,Pumpkins,17042,697ab1d5-0b46-465f-a959-e938154d5d09,False,1
5v5 Tourney 2022 : Women’s,2022-09-17,Pumpkins,18989,78457198-65c2-4ffa-bd53-8484ad7b5986,False,1
5v5 Tourney 2022 : Women’s,2022-09-17,Pumpkins,17819,7a3be8d5-d4dd-4334-ab0e-b8debed00f4b,False,1
5v5 Tourney 2022 : Women’s,2022-09-17,Pumpkins,17417,86c116fa-1f4d-4a5d-b889-d1ec0364433b,False,1
5v5 Tourney 2022 : Women’s,2022-09-17,Pumpkins,17204,b560ae40-7454-4090-a858-89e6729a77fb,False,1
5v5 Tourney 2022 : Women’s,2022-09-17,Pumpkins,18016,c9637a5e-9da1-4703-adeb-eb34cd9c16b4,True,1
5v5 Tourney 2022 : Women’s,2022-09-17,Pumpkins,21150,dcfd72cd-9b0d-43f9-b79d-0bb38c14fd06,False,1
5v5 Tourney 2022 : Women’s,2022-09-17,Pumpkins,17802,e0bd076e-8273-44a5-acd9-f975b2aa8b44,False,1
5v5 Tourney 2022 : Women’s,2022-09-17,Pumpkins,17065,e97573a3-16b6-47c7-b21e-cb137e3a53fc,True,1
5v5 Tourney 2022 : Women’s,2022-09-17,Pumpkins,17364,f2022336-257e-437d-96c3-86626bd2718d,False,1
5v5 Tourney 2022 : Women’s,2022-09-17,Pumpkins,20134,f6e4a23c-8247-4000-a6f9-4b73065b4708,False,1
5v5 Tourney 2022 : Women’s,2022-09-17,Green Mambas,19246,1c0ecca9-72dd-4833-bb74-3b03e0d6984c,False,1
5v5 Tourney 2022 : Women’s,2022-09-17,Green Mambas,17061,3d225c75-59c8-4c0b-b736-0e9298d83290,False,1
5v5 Tourney 2022 : Women’s,2022-09-17,Green Mambas,17030,5d22bbe1-0bf5-4898-9257-a81ebf1535db,True,1
5v5 Tourney 2022 : Women’s,2022-09-17,Green Mambas,17035,5e7fd876-bc69-4114-ac57-477bbe7edcb3,False,1
5v5 Tourney 2022 : Women’s,2022-09-17,Green Mambas,17192,69627d56-ac05-41d0-b2b1-4a25a8e0d64c,True,1
5v5 Tourney 2022 : Women’s,2022-09-17,Green Mambas,17211,72627680-9806-4495-b3d4-484ceea932c1,False,1
